04:22,06:26,13:20,17:36,19:41,21:42
04:19,06:23,13:20,17:38,19:48,21:44
04:16,06:20,13:20,17:40,19:46,21:47
04:13,06:17,13:20,17:42,19:48,21:49
04:10,06:14,13:20,17:44,19:51,21:52
04:06,06:11,13:20,17:46,19:53,21:54
04:03,06:08,13:20,17:48,19:56,21:57
04:00,06:05,13:20,17:50,19:58,21:59
03:56,06:02,13:20,17:52,20:00,22:02
03:53,05:59,13:20,17:54,20:03,22:04
03:50,05:56,13:20,17:56,20:05,22:07
03:47,05:53,13:20,17:58,20:08,22:09
03:44,05:50,13:20,18:00,20:10,22:12
03:41,05:57,13:20,18:02,20:13,22:14
03:38,05:44,13:20,18:04,20:15,22:17
03:35,05:41,13:20,18:06,20:17,22:19
03:32,05:38,13:20,18:08,20:20,22:22
03:29,05:35,13:20,18:10,20:22,22:24
03:26,05:32,13:20,18:12,20:25,22:27
03:23,05:29,13:20,18:14,20:27,22:29
03:20,05:27,13:20,18:16,20:30,22:32
03:17,05:24,13:20,18:18,20:32,22:34
03:14,05:21,13:20,18:20,20:35,22:37
03:11,05:18,13:20,18:22,20:37,22:39
03:08,05:15,13:20,18:24,20:40,22:42
03:05,05:12,13:20,18:26,20:42,22:44
03:02,05:10,13:20,18:28,20:45,22:47
02:59,05:07,13:20,18:30,20:47,22:49
02:56,05:04,13:20,18:32,20:49,22:52
02:53,05:02,13:20,18:34,20:52,22:54
